Id_aynm,Id_ayno,Id_medida,Localizacion
1015,924,95,A
1016,925,95,A
1017,926,95,A
1018,927,95,A
1019,928,96,A
1020,929,96,A
1021,930,96,A
1022,931,96,A
1023,932,96,A
1024,933,37,A
1025,934,37,A
1026,935,37,A
1027,936,37,A
1028,937,36,A
1029,938,36,A
1030,939,36,A
1031,940,36,A
1032,941,68,A
1033,942,68,A
1034,943,68,A
1035,944,68,A
1036,945,68,A
1037,946,68,A
1038,947,70,A
1039,948,70,A
1040,949,70,A
1041,950,70,A
1042,951,70,A
1043,952,54,A
1044,953,73,A
1045,954,73,A
1046,955,73,A
1047,956,73,A
1048,957,73,A
1049,958,73,A
1050,959,73,A
1051,960,73,A
1052,961,89,A
1053,962,89,A
1054,963,89,A
1055,964,89,A
1056,965,54,A
1057,966,54,A
1058,967,126,A
1059,968,126,A
1060,969,126,A
1061,970,126,A
1062,971,126,A
1063,972,126,A
1064,973,126,A
1065,974,126,A
1066,975,126,A
1067,976,126,A
1068,977,126,A
1069,978,236,D
1070,978,291,T
1071,979,7,A
1072,980,73,A
1073,981,73,A
1074,982,73,A
1075,983,73,A
1076,984,73,A
1077,985,73,A
1078,986,73,A
1079,987,73,A
1080,988,73,A
1081,989,73,A
1082,990,25,A
1083,991,25,A
1084,992,25,A
1085,993,25,A
1086,994,25,A
1087,995,25,A
1088,996,25,A
1089,997,25,A
1090,998,25,A
1091,999,25,A
1092,1000,25,A
1093,1001,25,A
1094,1002,25,A
1095,1003,25,A
1096,1004,25,A
1097,1005,25,A
1098,1006,25,A
1099,1007,25,A
1100,1008,25,A
1101,1009,25,A
1102,1010,25,A
1103,1011,25,A
1104,1012,36,A
1105,1013,36,A
1106,1014,36,A
1107,1015,36,A
1108,1016,36,A
1109,1017,36,A
1110,1018,36,A
1111,1019,36,A
1112,1020,36,A
1113,1021,36,A
1114,1022,36,A
1115,1023,52,A
1116,1024,52,A
1117,1025,52,A
1118,1026,52,A
1119,1027,52,A
1120,1028,52,A
1121,1029,49,A
1122,1030,49,A
1123,1031,49,A
1124,1032,49,A
1125,1033,49,A
1126,1034,54,A
1127,1035,54,A
1128,1036,68,A
1129,1037,68,A
1130,1038,54,A
1131,1039,54,A
1132,1040,54,A
1133,1041,54,A
1134,1042,54,A
1135,1043,119,A
1136,1044,119,A
1137,1045,119,A
1138,1046,119,A
1139,1047,119,A
1140,1048,68,A
1141,1049,68,A
1142,1050,68,A
1143,1051,89,A
1144,1052,89,A
1145,1053,89,A
1146,1054,89,A
1147,1055,89,A
1148,1056,89,A
1149,1057,89,A
1150,1058,89,A
1151,1059,89,A
1152,1060,89,A
1153,1061,110,A
1154,1062,110,A
1155,1063,110,A
1156,1064,110,A
1157,1065,89,A
1158,1066,89,A
1159,1067,54,A
1160,1068,74,A
1161,1069,74,A
1162,1070,89,A
1163,1071,89,A
1164,1072,89,A
1165,1073,89,A
1166,1074,89,A
1167,1075,166,A
1168,1076,166,A
1169,1077,166,A
1170,1078,166,A
1171,1079,118,A
1172,1080,118,A
1173,1081,170,A
1174,1082,170,A
1175,1083,170,A
1176,1084,118,A
1177,1085,118,A
1178,1086,118,A
1179,1087,25,A
1180,1088,11,A
1181,1089,11,A
1182,1090,11,A
1183,1091,11,A
1184,1092,11,A
1185,1093,11,A
1186,1094,11,A
1187,1095,49,A
1188,1096,49,A
1189,1097,49,A
1190,1098,49,A
1191,1099,65,A
1192,1100,65,A
1193,1101,65,A
1194,1102,65,A
1195,1103,111,A
1196,1104,111,A
1197,1105,74,A
1198,1106,74,A
1199,1107,57,A
1200,1108,57,A
1201,1109,79,A
1202,1110,79,A
1203,1111,79,A
1204,1112,79,A
1205,1113,79,A
1206,1114,79,A
1207,1115,79,A
1208,1116,79,A
1209,1117,79,A
1210,1118,79,A
1211,1119,78,A
1212,1120,78,A
1213,1121,78,A
1214,1122,78,A
1215,1123,76,A
1216,1124,78,A
1217,1125,78,A
1218,1126,78,A
1219,1127,96,A
1220,1128,96,A
1221,1129,7,A
1222,1130,7,A
1223,1131,7,A
1224,1132,7,A
1225,1133,7,A
1226,1134,7,A
1227,1135,7,A
1228,1136,7,A
1229,1137,7,A
1230,1138,96,A
1231,1139,96,A
1232,1140,38,A
1233,1141,38,A
1234,1142,38,A
1235,1143,38,A
1236,1144,72,A
1237,1145,72,A
1238,1146,74,A
1239,1147,74,A
1240,1148,74,A
1241,1149,74,A
1242,1150,74,A
1243,1151,48,A
1244,1152,48,A
1245,1153,48,A
1246,1154,48,A
1247,1155,48,A
1248,1156,48,A
1249,1157,48,A
1250,1158,48,A
1251,1159,38,A
1252,1160,38,A
1253,1161,38,A
1254,1162,38,A
1255,1163,38,A
1256,1164,38,A
1257,1165,38,A
1258,1166,38,A
1259,1167,38,A
1260,1168,38,A
1261,1169,38,A
1262,1170,38,A
1263,1171,38,A
1264,1172,35,A
1265,1173,25,A
1266,1174,25,A
1267,1175,25,A
1268,1176,27,A
1269,1177,27,A
1270,1178,27,A
1271,1179,27,A
1272,1180,27,A
1273,1181,27,A
1274,1182,10,A
1275,1183,10,A
1276,1184,10,A
1277,1185,10,A
1278,1186,10,A
1279,1187,10,A
1280,1188,37,A
1281,1189,37,A
1282,1190,37,A
1283,1191,6,A
1284,1192,6,A
1285,1193,6,A
1286,1194,6,A
1287,1195,6,A
1288,1196,6,A
1289,1197,27,A
1290,1198,27,A
1291,1199,27,A
1292,1200,27,A
1293,1201,27,A
1294,1202,27,A
1295,1203,27,A
1296,1204,72,A
1297,1205,72,A
1298,1206,72,A
1299,1207,72,A
1300,1208,72,A
1301,1209,51,A
1302,1210,5,A
1303,1211,5,A
1304,1212,5,A
1305,1213,5,A
1306,1214,37,A
1307,1215,37,A
1308,1216,37,A
1309,1217,37,A
1310,1218,37,A
1311,1219,37,A
1312,1220,56,A
1313,1221,56,A
1314,1222,5,A
1315,1223,52,A
1316,1224,52,A
1317,1225,52,A
1318,1226,6,A
1319,1227,6,A
1320,1228,6,A
1321,1229,6,A
1322,1230,6,A
1323,1231,6,A
1324,1232,6,A
1325,1233,27,A
1326,1234,27,A
1327,1235,27,A
1328,1236,27,A
1329,1237,27,A
1330,1238,27,A
1331,1239,11,A
1332,1240,11,A
1333,1241,1,A
1334,1242,1,A
1335,1243,1,A
1336,1244,1,A
1337,1245,1,A
1338,1246,128,A
1339,1247,128,A
1340,1248,128,A
1341,1249,128,A
1342,1250,128,A
1343,1251,128,A
1344,1252,5,A
1345,1253,5,A
1346,1254,5,A
1347,1255,5,A
1348,1256,5,A
1349,1257,5,A
1350,1258,104,A
1351,1259,104,A
1352,1260,104,A
1353,1261,104,A
1354,1262,104,A
1355,1263,104,A
1356,1264,104,A
1357,1265,3,A
1358,1266,3,A
1359,1267,3,A
1360,1268,3,A
1361,1269,3,A
1362,1270,76,A
1363,1271,76,A
1364,1272,76,A
1365,1273,76,A
1366,1274,76,A
1367,1275,76,A
1368,1276,41,A
1369,1277,41,A
1370,1278,41,A
1371,1279,41,A
1372,1280,41,A
1373,1281,41,A
1374,1282,157,A
1375,1283,157,A
1376,1284,157,A
1377,1285,157,A
1378,1286,157,A
1379,1287,157,A
1380,1288,126,A
1381,1289,126,A
1382,1290,126,A
1383,1291,126,A
1384,1292,126,A
1385,1293,126,A
1386,1294,126,A
1387,1295,125,A
1388,1296,125,A
1389,1297,125,A
1390,1298,125,A
1391,1299,126,A
1392,1300,227,A
1393,1301,227,A
1394,1302,227,A
1395,1303,227,A
1396,1304,227,A
1397,1305,227,A
1398,1306,227,A
1399,1307,227,A
1400,1308,65,A
1401,1309,65,A
1402,1310,65,A
1403,1311,65,A
1404,1312,65,A
1405,1313,65,A
1406,1314,111,A
1407,1315,111,A
1408,1316,111,A
1409,1317,111,A
1410,1318,111,A
1411,1319,111,A
1412,1320,148,A
1413,1321,148,A
1414,1322,85,D
1415,1322,237,T
1416,1323,85,D
1417,1323,237,T
1418,1324,85,D
1419,1324,237,T
1420,1325,85,D
1421,1325,237,T
1422,1326,85,D
1423,1326,237,T
1424,1327,85,D
1425,1327,237,T
1426,1328,85,D
1427,1328,237,T
1428,1329,190,D
1429,1329,256,T
1430,1330,190,D
1431,1330,256,T
1432,1331,190,D
1433,1331,256,T
1434,1332,190,D
1435,1332,256,T
1436,1333,190,D
1437,1333,256,T
1438,1334,190,D
1439,1334,256,T
1440,1335,190,D
1441,1335,256,T
1442,1336,190,D
1443,1336,256,T
1444,1337,187,D
1445,1337,270,T
1446,1338,187,D
1447,1338,270,T
1448,1339,187,D
1449,1339,270,T
1450,1340,187,D
1451,1340,270,T
1452,1341,187,D
1453,1341,270,T
1454,1342,187,D
1455,1342,270,T
1456,1343,187,D
1457,1343,270,T
1458,1344,187,D
1459,1344,270,T
1460,1345,166,D
1461,1345,278,T
1462,1346,166,D
1463,1346,278,T
1464,1347,166,D
1465,1347,278,T
1466,1348,166,D
1467,1348,278,T
1468,1349,166,D
1469,1349,278,T
1470,1350,170,D
1471,1350,258,T
1472,1351,170,D
1473,1351,258,T
1474,1352,170,D
1475,1352,258,T
1476,1353,170,D
1477,1353,258,T
1478,1354,166,D
1479,1354,258,T
1480,1355,166,D
1481,1355,258,T
1482,1356,166,D
1483,1356,258,T
1484,1357,166,D
1485,1357,258,T
1486,1358,166,D
1487,1358,258,T
1488,1359,166,D
1489,1359,258,T
1490,1360,166,D
1491,1360,258,T
1492,1361,166,D
1493,1361,258,T
1494,1362,166,D
1495,1362,258,T
1496,1363,166,D
1497,1363,258,T
1498,1364,162,D
1499,1364,292,T
1500,1365,162,D
1501,1365,292,T
1502,1366,108,D
1503,1366,213,T
1504,1367,108,D
1505,1367,213,T
1506,1368,108,D
1507,1368,213,T
1508,1369,108,D
1509,1369,213,T
1510,1370,108,D
1511,1370,213,T
1512,1371,107,D
1513,1371,253,T
1514,1372,107,D
1515,1372,253,T
1516,1373,107,D
1517,1373,253,T
1518,1374,107,D
1519,1374,253,T
1520,1375,107,D
1521,1375,253,T
1522,1376,107,D
1523,1376,253,T
1524,1377,161,D
1525,1377,289,T
1526,1378,161,D
1527,1378,289,T
1528,1379,161,D
1529,1379,289,T
1530,1380,137,D
1531,1380,270,T
1532,1381,137,D
1533,1381,270,T
1534,1382,137,D
1535,1382,270,T
1536,1383,163,D
1537,1383,272,T
1538,1384,163,D
1539,1384,272,T
1540,1385,163,D
1541,1385,254,T
1542,1386,32,A
1543,1387,32,A
1544,1388,32,A
1545,1389,44,A
1546,1390,44,A
1547,1391,44,A
1548,1392,44,A
1549,1393,44,A
1550,1394,44,A
1551,1395,44,A
1552,1396,44,A
1553,1397,25,A
1554,1398,25,A
1555,1399,25,A
1556,1400,48,A
1557,1401,48,A
1558,1402,48,A
1559,1403,37,A
1560,1404,37,A
1561,1405,37,A
1562,1406,37,A
1563,1407,37,A
1564,1408,110,A
1565,1409,110,A
1566,1410,110,A
1567,1411,110,A
1568,1412,110,A
1569,1413,48,A
1570,1414,69,A
1571,1415,69,A
1572,1416,69,A
1573,1417,69,A
1574,1418,69,A
1575,1419,36,A
1576,1420,36,A
1577,1421,53,A
1578,1422,53,A
1579,1423,53,A
1580,1424,53,A
1581,1425,53,A
1582,1426,53,A
1583,1427,53,A
1584,1428,53,A
1585,1429,53,A
1586,1430,53,A
1587,1431,53,A
1588,1432,53,A
1589,1433,53,A
1590,1434,76,A
1591,1435,76,A
1592,1436,76,A
1593,1437,76,A
1594,1438,76,A
1595,1439,76,A
1596,1440,76,A
1597,1441,76,A
1598,1442,76,A
